CURRENT_LANGUAGE,English,Français,Italiano,Deutsch,Español (España),Español (LatAm),Português (BR),Русский,Українська,简体中文,繁体中文,日本語,한국어,Polski,Türkçe,ENDLINE
HOSTGAME,HOST GAME,HÉBERGER UNE PARTIE,OSPITA PARTITA,SPIEL HOSTEN,CREAR PARTIDA,PARTIDA MULTIJUGADOR,HOSPEDAR JOGO,СОЗДАТЬ ИГРУ,СТВОРИТИ ГРУ,创建游戏,,オンライン協力プレイ,게임 호스트,HOSTUJ GRĘ,OYUN KUR,ENDLINE
PLAYOFFLINE,PLAY OFFLINE,JOUER HORS LIGNE,GIOCA OFFLINE,OFFLINE SPIELEN,JUGAR SIN CONEXIÓN,JUGAR SIN CONEXIÓN,JOGAR OFFLINE,ЛОКАЛЬНАЯ ИГРА,ГРАТИ ОФЛАЙН,离线游玩,,オフラインプレイ,오프라인 플레이,GRAJ OFFLINE,ÇEVRİM DIŞI OYNA,ENDLINE
SETTINGS,SETTINGS,PARAMÈTRES,IMPOSTAZIONI,EINSTELLUNGEN,AJUSTES,AJUSTES,CONFIGURAÇÕES,НАСТРОЙКИ,НАЛАШТУВАННЯ,设置,,設定,설정,USTAWIENIA,AYARLAR,ENDLINE
CREDITS,CREDITS,CRÉDITS,RICONOSCIMENTI,MITWIRKENDE,CRÉDITOS,CRÉDITOS,CRÉDITOS,АВТОРЫ,ПОДЯКИ,制作人员名单,,クレジット,제작진,TWÓRCY,EMEĞİ GEÇENLER,ENDLINE
QUIT,QUIT,QUITTER,ESCI,BEENDEN,SALIR,SALIR,SAIR,ВЫХОД,ВИЙТИ,退出,,ゲームをやめる,종료,WYJDŹ,ÇIKIŞ,ENDLINE
NEWISLANDIN,NEW ISLAND IN,NOUVELLE ÎLE DANS,NUOVA ISOLA TRA,NEUE INSEL IN,ISLA NUEVA EN,NUEVAL ISLA EN,NOVA ILHA EM,НОВЫЙ ОСТРОВ ЧЕРЕЗ,НОВИЙ ОСТРІВ ЧЕРЕЗ,新岛屿即将出现：,,マップ変更まで：,섬 변경까지,NOWA WYSPA ZA:,YENİ ADAYA KALAN SÜRE:,ENDLINE
AGAMEMADEBY,A GAME MADE BY,UN JEU CRÉÉ PAR,UN GIOCO REALIZZATO DA,EIN SPIEL VON,UN JUEGO DE,UN JUEGO DE,JOGO CRIADO POR,РАЗРАБОТЧИКИ,ГРУ СТВОРИЛИ,制作方,,制作チーム：,만든 사람들,GRA STWORZONA PRZEZ:,YAPIMCI EKİP,ENDLINE
ACOLLABBETWEEN,A COLLAB BETWEEN,UNE COLLABORATION ENTRE,UNA COLLABORAZIONE TRA,EINE KOOPERATION ZWISCHEN,UNA COLABORACIÓN DE,UNA COLABORACIÓN ENTRE,UMA COLABORAÇÃO ENTRE,СОВМЕСТНАЯ РАЗРАБОТКА,У СПІВПРАЦІ З,合作方,,コラボ：,공동 제작,WSPÓŁPRACA POMIĘDZY:,ORTAK YAPIM,ENDLINE
THANKSFORPLAYING,THANKS FOR PLAYING!,MERCI DE JOUER !,GRAZIE PER AVER GIOCATO!,DANKE FÜRS SPIELEN!,¡GRACIAS POR JUGAR!,¡GRACIAS POR JUGAR!,OBRIGADO POR JOGAR!,СПАСИБО ЗА ИГРУ!,ЩИРО ДЯКУЄМО ЗА ГРУ!,感谢游玩！,,プレイしてくれてありがとう！,플레이해 주셔서 감사합니다!,DZIĘKUJEMY ZA GRĘ!,OYNADIĞIN İÇİN TEŞEKKÜRLER!,ENDLINE
THISGAMEUSESVOICECHAT,THIS GAME USES VOICE CHAT,CE JEU DISPOSE D'UN CHAT VOCAL.,QUESTO GIOCO UTILIZZA LA CHAT VOCALE,DIESES SPIEL VERWENDET SPRACHCHAT,ESTE JUEGO USA CHAT DE VOZ,ESTE JUEGO UTILIZA CHAT DE VOZ,ESTE JOGO USA CHAT DE VOZ,ДЛЯ ИГРЫ НУЖЕН ГОЛОСОВОЙ ЧАТ,У ГРІ Є ГОЛОСОВИЙ ЧАТ,本游戏包含语音聊天功能,,このゲームではボイスチャットを使用します,이 게임은 음성 채팅을 사용합니다,GRA KORZYSTA Z CZATU GŁOSOWEGO,BU OYUN SESLİ SOHBET KULLANMAKTADIR,ENDLINE
