CURRENT_LANGUAGE,English,Français,Italiano,Deutsch,Español (España),Español (LatAm),Português (BR),Русский,Українська,简体中文,繁体中文,日本語,한국어,Polski,Türkçe,ENDLINE
"PEAKCHATOPSWELCOME","Welcome to PeakChatOps","Bienvenue sur PeakChatOps","Benvenuto su PeakChatOps","Willkommen bei PeakChatOps","Bienvenido a PeakChatOps","Bienvenido a PeakChatOps","Bem-vindo ao PeakChatOps","Добро пожаловать в PeakChatOps","Ласкаво просимо до PeakChatOps","欢迎使用 PeakChatOps 聊天","歡迎使用 PeakChatOps 聊天","PeakChatOpsへようこそ","PeakChatOps에 오신 것을 환영합니다","Witaj w PeakChatOps","PeakChatOps'a hoş geldiniz",""
"TRANSLATE_PROMPT","Please translate the following text:","Veuillez traduire le texte suivant :","Si prega di tradurre il testo seguente:","Bitte übersetzen Sie den folgenden Text:","Por favor, traduzca el siguiente texto:","Por favor, traduzca el siguiente texto:","Por favor, traduza o texto a seguir:","Пожалуйста, переведите следующий текст:","Будь ласка, перекладіть наступний текст:","请翻译以下内容：","請翻譯以下內容：","以下の文章を翻訳してください：","아래의 텍스트를 번역해 주세요:","Proszę przetłumaczyć poniższy tekst:","Lütfen aşağıdaki metni çevirin:",""
"PROMPT_SEND","Please answer as my spokesperson for this round. Your reply will be sent to other players as if it were from me. Start directly","Répondez en tant que mon porte-parole pour cette manche. Votre réponse sera envoyée aux autres joueurs comme si elle venait de moi. Commencez directement.","Rispondi come mio portavoce per questo turno. La tua risposta sarà inviata agli altri giocatori come se fosse da me. Inizia subito.","Antworte als mein Sprecher für diese Runde. Deine Antwort wird anderen Spielern wie von mir gesendet. Beginne direkt.","Responde como mi portavoz en esta ronda. Tu respuesta será enviada a los demás jugadores como si fuera mía. Empieza directamente.","Responde como mi portavoz en esta ronda. Tu respuesta será enviada a los demás como si fuera mía. Comienza directamente.","Responda como meu porta-voz nesta rodada. Sua resposta será enviada aos outros jogadores como se fosse minha. Comece direto.","Ответьте как мой представитель в этом раунде. Ваш ответ будет отправлен другим игрокам от моего имени. Начните сразу.","Відповідайте як мій представник у цьому раунді. Ваша відповідь буде надіслана іншим гравцям від мого імені. Починайте відразу.","请作为我的“代言人”身份回答本轮。你的回复将以我的名义发送给其他玩家。请直接开始。","請以我的「代言人」身份回答本輪。你的回覆將以我的名義發送給其他玩家。請直接開始。","このラウンドは私の代理人として回答してください。あなたの返答は私の名義で他のプレイヤーに送信されます。すぐに始めてください。","이번 라운드는 제 대변인으로 답해주세요. 답변은 제 이름으로 다른 플레이어에게 전송됩니다. 바로 시작하세요.","Odpowiedz jako mój rzecznik w tej rundzie. Twoja odpowiedź zostanie wysłana innym graczom jako moja. Zacznij od razu.","Bu turda benim sözcüm olarak yanıt verin. Cevabınız diğer oyunculara benim adıma gönderilecektir. Hemen başlayın.",""
"TRANSLATE_PROMPT","Please translate the following text:","Veuillez traduire le texte suivant :","Si prega di tradurre il testo seguente:","Bitte übersetzen Sie den folgenden Text:","Por favor, traduzca el siguiente texto:","Por favor, traduzca el siguiente texto:","Por favor, traduza o texto a seguir:","Пожалуйста, переведите следующий текст:","Будь ласка, перекладіть наступний текст:","请翻译以下内容：","請翻譯以下內容：","以下の文章を翻訳してください：","아래의 텍스트를 번역해 주세요:","Proszę przetłumaczyć poniższy tekst:","Lütfen aşağıdaki metni çevirin:",""
"PROMPT_SEND","Please answer as my spokesperson for this round. Your reply will be sent to other players as if it were from me. Start directly","Répondez en tant que mon porte-parole pour cette manche. Votre réponse sera envoyée aux autres joueurs comme si elle venait de moi. Commencez directement.","Rispondi come mio portavoce per questo turno. La tua risposta sarà inviata agli altri giocatori come se fosse da me. Inizia subito.","Antworte als mein Sprecher für diese Runde. Deine Antwort wird anderen Spielern wie von mir gesendet. Beginne direkt.","Responde como mi portavoz en esta ronda. Tu respuesta será enviada a los demás jugadores como si fuera mía. Empieza directamente.","Responde como mi portavoz en esta ronda. Tu respuesta será enviada a los demás como si fuera mía. Comienza directamente.","Responda como meu porta-voz nesta rodada. Sua resposta será enviada aos outros jogadores como se fosse minha. Comece direto.","Ответьте как мой представитель в этом раунде. Ваш ответ будет отправлен другим игрокам от моего имени. Начните сразу.","Відповідайте як мій представник у цьому раунді. Ваша відповідь буде надіслана іншим гравцям від мого імені. Починайте відразу.","请作为我的“代言人”身份回答本轮。你的回复将以我的名义发送给其他玩家。请直接开始。","請以我的「代言人」身份回答本輪。你的回覆將以我的名義發送給其他玩家。請直接開始。","このラウンドは私の代理人として回答してください。あなたの返答は私の名義で他のプレイヤーに送信されます。すぐに始めてください。","이번 라운드는 제 대변인으로 답해주세요. 답변은 제 이름으로 다른 플레이어에게 전송됩니다. 바로 시작하세요.","Odpowiedz jako mój rzecznik w tej rundzie. Twoja odpowiedź zostanie wysłana innym graczom jako moja. Zacznij od razu.","Bu turda benim sözcüm olarak yanıt verin. Cevabınız diğer oyunculara benim adıma gönderilecektir. Hemen başlayın.",""
"AI_CONTEXT_MAX_COUNT_DESCRIPTION","Maximum number of AI context messages (affects memory length, higher value uses more resources)","Nombre maximal de messages de contexte AI (affecte la longueur de la mémoire, une valeur plus élevée utilise plus de ressources)","Numero massimo di messaggi di contesto AI (influisce sulla lunghezza della memoria, un valore più alto utilizza più risorse)","Maximale Anzahl an AI-Kontextnachrichten (beeinflusst die Gedächtnislänge, höherer Wert benötigt mehr Ressourcen)","Número máximo de mensajes de contexto de IA (afecta la longitud de la memoria, un valor mayor usa más recursos)","Número máximo de mensajes de contexto de IA (afecta la longitud de la memoria, un valor mayor usa más recursos)","Número máximo de mensagens de contexto de IA (afeta o comprimento da memória, valor mais alto usa mais recursos)","Максимальное количество сообщений контекста ИИ (влияет на длину памяти, большее значение требует больше ресурсов)","Максимальна кількість повідомлень контексту AI (впливає на довжину пам'яті, більше значення використовує більше ресурсів)","AI上下文最大历史消息数（影响AI记忆长度，值越大越耗费资源）","AI上下文最大歷史消息數（影響AI記憶長度，值越大越耗費資源）","AIコンテキストメッセージの最大数（記憶の長さに影響し、値が大きいほどリソースを消費します）","AI 컨텍스트 메시지 최대 개수(메모리 길이에 영향, 값이 클수록 리소스 소모)","Maksymalna liczba wiadomości kontekstu AI (wpływa na długość pamięci, wyższa wartość zużywa więcej zasobów)","AI bağlam mesajlarının maksimum sayısı (hafıza uzunluğunu etkiler, yüksek değer daha fazla kaynak kullanır)",""
"AI_SHOW_RESPONSE_DESCRIPTION","Show full AI response in chat","Afficher la réponse complète de l'IA dans le chat","Mostra la risposta completa dell'AI nella chat","Vollständige KI-Antwort im Chat anzeigen","Mostrar la respuesta completa de la IA en el chat","Mostrar la respuesta completa de la IA en el chat","Mostrar resposta completa da IA no chat","Показывать полный ответ ИИ в чате","Показувати повну відповідь AI у чаті","在聊天中显示 AI 的完整回复","在聊天中顯示 AI 的完整回覆","チャットにAIの完全な返答を表示する","채팅에 AI의 전체 응답을 표시","Wyświetl pełną odpowiedź AI na czacie","Sohbette tam AI yanıtını göster",""
"PASS_OUT_MESSAGE","I'm so dizzy! Please help me!","J'ai la tête qui tourne ! Aidez-moi !","Mi gira la testa! Aiutatemi!","Mir ist schwindlig! Hilf mir!","¡Estoy mareado! ¡Ayúdame!","¡Estoy mareado! ¡Ayúdame!","Estou tonto! Por favor, me ajude!","Мне очень плохо! Помогите!","Мені дуже зле! Допоможіть!","我头晕得厉害！快来救我！","我頭暈得厲害！快來救我！","くらくらする！助けて！","어지러워! 도와줘!","Kręci mi się w głowie! Pomóżcie!","Başım dönüyor! Lütfen yardım edin!",""
"PASS_OUT_MESSAGE_DESCRIPTION","Message shown when the character passes out.","Message affiché lorsque le personnage s'évanouit.","Messaggio visualizzato quando il personaggio sviene.","Nachricht, die angezeigt wird, wenn der Charakter ohnmächtig wird.","Mensaje mostrado cuando el personaje se desmaya.","Mensaje mostrado cuando el personaje se desmaya.","Mensagem exibida quando o personagem desmaia.","Сообщение, отображаемое при обмороке персонажа.","Повідомлення, що показується, коли персонаж втрачає свідомість.","角色晕倒时显示的提示信息。","角色暈倒時顯示的提示信息。","キャラクターが気絶した時に表示されるメッセージ。","캐릭터가 기절할 때 표시되는 메시지.","Komunikat wyświetlany, gdy postać traci przytomność.","Karakter bayıldığında gösterilen mesaj.",""
"REVIVE_MESSAGE","Great! I'm revived! Thank you so much! Super","Super, je suis réanimé ! Merci beaucoup !","Fantastico, sono resuscitato! Grazie mille!","Toll, ich bin wiederbelebt! Vielen Dank!","¡Genial, he resucitado! ¡Muchas gracias!","¡Genial, me revivieron! ¡Muchas gracias!","Que ótimo, estou revivido! Muito obrigado!","Здорово, я ожил! Огромное спасибо!","Чудово, я ожив! Дуже дякую!","太好了，我复活了！非常感谢！","太好了，我復活了！非常感謝！","やった！蘇生した！本当にありがとう！","살아났다! 정말 고마워!","Świetnie, zostałem ożywiony! Bardzo dziękuję!","Harika, yeniden canlandım! Çok teşekkürler!",""
